,,note,set_name,instr,PC,EXC,pan
66,4,F#,electronic,,25,,
66,5,F#,analog,,26,,
66,6,F#,jazz,,33,,
66,7,F#,brush,,41,,
66,8,F#,orchestra,,49,,
66,9,F#,sfx,,57,,
67,1,G,standard,High Agogo,1,,29
67,2,G,room,@,9,,
67,3,G,power,@,17,,
67,4,G,electronic,,25,,
67,5,G,analog,,26,,
67,6,G,jazz,,33,,
67,7,G,brush,,41,,
67,8,G,orchestra,,49,,
67,9,G,sfx,,57,,
68,1,G#,standard,Low Agogo,1,,29
68,2,G#,room,@,9,,
68,3,G#,power,@,17,,
68,4,G#,electronic,,25,,
68,5,G#,analog,,26,,
68,6,G#,jazz,,33,,
68,7,G#,brush,,41,,
68,8,G#,orchestra,,49,,
68,9,G#,sfx,,57,,
69,1,A,standard,Cabasa,1,,29
69,2,A,room,@,9,,
69,3,A,power,@,17,,
69,4,A,electronic,,25,,
69,5,A,analog,,26,,
69,6,A,jazz,,33,,
69,7,A,brush,,41,,
69,8,A,orchestra,,49,,
69,9,A,sfx,,57,,
70,1,A#,standard,Maracas,1,,24
70,2,A#,room,@,9,,
70,3,A#,power,@,17,,
70,4,A#,electronic,,25,,
70,5,A#,analog,,26,,
70,6,A#,jazz,,33,,
70,7,A#,brush,,41,,
70,8,A#,orchestra,,49,,
70,9,A#,sfx,,57,,
71,1,B,standard,Short Whistle,1,2,99
71,2,B,room,@,9,,
71,3,B,power,@,17,,
71,4,B,electronic,,25,,
71,5,B,analog,,26,,
71,6,B,jazz,,33,,
71,7,B,brush,,41,,
71,8,B,orchestra,,49,,
71,9,B,sfx,,57,,
72,1,C,standard,Long Whistle,1,2,99
72,2,C,room,@,9,,
72,3,C,power,@,17,,
72,4,C,electronic,,25,,
72,5,C,analog,,26,,
72,6,C,jazz,,33,,
72,7,C,brush,,41,,
72,8,C,orchestra,,49,,
72,9,C,sfx,,57,,
73,1,C#,standard,Short Guiro,1,3,94
73,2,C#,room,@,9,,
73,3,C#,power,@,17,,
73,4,C#,electronic,,25,,
73,5,C#,analog,,26,,
73,6,C#,jazz,,33,,
73,7,C#,brush,,41,,
73,8,C#,orchestra,,49,,
73,9,C#,sfx,,57,,
74,1,D,standard,Long Guiro,1,3,94
74,2,D,room,@,9,,
74,3,D,power,@,17,,
74,4,D,electronic,,25,,
74,5,D,analog,,26,,
74,6,D,jazz,,33,,
74,7,D,brush,,41,,
74,8,D,orchestra,,49,,
74,9,D,sfx,,57,,
75,1,D#,standard,Claves,1,,84
75,2,D#,room,@,9,,
75,3,D#,power,@,17,,
75,4,D#,electronic,,25,,
75,5,D#,analog,,26,,
75,6,D#,jazz,,33,,
75,7,D#,brush,,41,,
75,8,D#,orchestra,,49,,
75,9,D#,sfx,,57,,
76,1,E,standard,Hi Wood Block,1,,99
76,2,E,room,@,9,,
76,3,E,power,@,17,,
76,4,E,electronic,,25,,
76,5,E,analog,,26,,
76,6,E,jazz,,33,,
76,7,E,brush,,41,,
76,8,E,orchestra,,49,,
76,9,E,sfx,,57,,
77,1,F,standard,Low Wood Block,1,,99
77,2,F,room,@,9,,
77,3,F,power,@,17,,
77,4,F,electronic,,25,,
77,5,F,analog,,26,,
77,6,F,jazz,,33,,
77,7,F,brush,,41,,
77,8,F,orchestra,,49,,
77,9,F,sfx,,57,,
78,1,F#,standard,Mute Cuica,1,4,44
78,2,F#,room,@,9,,
78,3,F#,power,@,17,,
78,4,F#,electronic,,25,,
78,5,F#,analog,,26,,
78,6,F#,jazz,,33,,
78,7,F#,brush,,41,,
78,8,F#,orchestra,,49,,
78,9,F#,sfx,,57,,
79,1,G,standard,Open Cuica,1,4,44
79,2,G,room,@,9,,
79,3,G,power,@,17,,
79,4,G,electronic,,25,,
79,5,G,analog,,26,,
79,6,G,jazz,,33,,
79,7,G,brush,,41,,
79,8,G,orchestra,,49,,
79,9,G,sfx,,57,,
80,1,G#,standard,Mute Triangle,1,5,24
80,2,G#,room,@,9,,
80,3,G#,power,@,17,,
80,4,G#,electronic,,25,,
80,5,G#,analog,,26,,
80,6,G#,jazz,,33,,
80,7,G#,brush,,41,,
80,8,G#,orchestra,,49,,
80,9,G#,sfx,,57,,
81,1,A,standard,Open Triangle,1,5,24
81,2,A,room,@,9,,
81,3,A,power,@,17,,
81,4,A,electronic,,25,,
81,5,A,analog,,26,,
81,6,A,jazz,,33,,
81,7,A,brush,,41,,
81,8,A,orchestra,,49,,
81,9,A,sfx,,57,,
82,1,A#,standard,Shaker,1,,94
82,2,A#,room,@,9,,
82,3,A#,power,@,17,,
82,4,A#,electronic,,25,,
82,5,A#,analog,,26,,
82,6,A#,jazz,,33,,
82,7,A#,brush,,41,,
82,8,A#,orchestra,,49,,
82,9,A#,sfx,,57,,
83,1,B,standard,Jingle Bell,1,,99
83,2,B,room,@,9,,
83,3,B,power,@,17,,
83,4,B,electronic,,25,,
83,5,B,analog,,26,,
83,6,B,jazz,,33,,
83,7,B,brush,,41,,
83,8,B,orchestra,,49,,
83,9,B,sfx,,57,,
84,1,C,standard,Bell Tree,1,,104
84,2,C,room,@,9,,
84,3,C,power,@,17,,
84,4,C,electronic,,25,,
84,5,C,analog,,26,,
84,6,C,jazz,,33,,
84,7,C,brush,,41,,
84,8,C,orchestra,,49,,
84,9,C,sfx,,57,,
85,1,C#,standard,Castanets,1,,34
85,2,C#,room,@,9,,
85,3,C#,power,@,17,,
85,4,C#,electronic,,25,,
85,5,C#,analog,,26,,
85,6,C#,jazz,,33,,
85,7,C#,brush,,41,,
85,8,C#,orchestra,,49,,
85,9,C#,sfx,,57,,
86,1,D,standard,Mute Surdo,1,6,44
86,2,D,room,@,9,,
86,3,D,power,@,17,,
86,4,D,electronic,,25,,
86,5,D,analog,,26,,
86,6,D,jazz,,33,,
86,7,D,brush,,41,,
86,8,D,orchestra,,49,,
86,9,D,sfx,,57,,
87,1,D#,standard,Open Surdo,1,6,44
87,2,D#,room,@,9,,
87,3,D#,power,@,17,,
87,4,D#,electronic,,25,,
87,5,D#,analog,,26,,
87,6,D#,jazz,,33,,
87,7,D#,brush,,41,,
87,8,D#,orchestra,,49,,
87,9,D#,sfx,,57,,
88,1,E,standard,--- --- ---,1,,
88,2,E,room,,9,,
88,3,E,power,,17,,
88,4,E,electronic,,25,,
88,5,E,analog,,26,,
88,6,E,jazz,,33,,
88,7,E,brush,,41,,
88,8,E,orchestra,,49,,
88,9,E,sfx,,57,,
